country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
US,kpop,72,78,sample_baseline,15155990,20,,youtube_api,22.0,trends_api,51,kf_api,,,55.55555555555556,15.070402022131887,40.476190476190474,70.96774193548387,0.4,0.35,0.25,37.61591054901601,,57.62700938089672,0.1228,7.076596751974118
US,kvideo,55,78,sample_baseline,494343,3,,youtube_api,0.0,trends_api,51,kf_api,,,52.77777777777778,100.0,0.0,70.96774193548387,0.4,0.35,0.25,56.111111111111114,,65.02508960573476,0.1287,8.368729032258065
US,kgame,64,78,sample_baseline,11457216,8,,youtube_search_fallback,32.0,trends_api,51,kf_api,,,70.0,36.294144094443965,43.07692307692308,70.96774193548387,0.4,0.35,0.25,51.47218120228615,,63.16951764220478,0.1067,6.74018753242325
US,kwebtoon,52,78,sample_baseline,12907853,8,,youtube_search_fallback,9.0,trends_api,51,kf_api,,,38.46153846153847,100.0,30.434782608695656,70.96774193548387,0.4,0.35,0.25,57.9933110367893,,65.77796957600604,0.0615,4.045345128924372
US,kfood,42,78,sample_baseline,0,0,search_http_429,youtube_api,15.0,trends_api,51,kf_api,0.0,customs_api,44.44444444444444,0.0,43.75,70.96774193548387,0.4,0.35,0.25,28.71527777777778,50.0,52.03337813620072,0.1677,8.72599751344086
US,kbeauty,55,78,sample_baseline,52452600,8,,youtube_search_fallback,41.0,trends_api,51,kf_api,0.0,customs_api,51.35135135135135,100.0,92.6829268292683,70.96774193548387,0.4,0.35,0.25,78.71127224785761,50.0,62.032577030216686,0.2165,13.430052927041912
US,kfashion,40,78,sample_baseline,22777105,8,,youtube_search_fallback,26.0,trends_api,51,kf_api,0.0,customs_api,51.85185185185185,100.0,77.41935483870968,70.96774193548387,0.4,0.35,0.25,75.09557945041816,50.0,61.30943847072879,0.1401,8.589452329749104
US,ktourism,38,78,sample_baseline,3069938,8,,youtube_search_fallback,3.0,trends_api,51,kf_api,120000.0,sample_kto,45.45454545454545,87.87913312211381,60.0,70.96774193548387,0.4,0.35,0.25,63.93951477455802,38.983050847457626,53.56975095928557,0.056,2.999906053719992
CN,kpop,64,60,sample_baseline,0,0,http_400,youtube_api_error,27.0,trends_api,33,kf_api,,,33.33333333333333,0.0,52.38095238095239,12.903225806451612,0.4,0.6,0.0,13.333333333333332,,13.0752688172043,0.1228,1.6056430107526882
CN,kvideo,58,60,sample_baseline,0,0,http_400,youtube_api_error,1.0,trends_api,33,kf_api,,,61.111111111111114,0.0,50.0,12.903225806451612,0.4,0.6,0.0,24.444444444444446,,17.519713261648747,0.1287,2.254787096774194
CN,kgame,55,60,sample_baseline,0,0,http_400,youtube_api_error,69.0,trends_api,33,kf_api,,,25.0,0.0,100.0,12.903225806451612,0.4,0.6,0.0,10.0,,11.741935483870968,0.1067,1.2528645161290324
CN,kwebtoon,56,60,sample_baseline,0,0,http_400,youtube_api_error,11.0,trends_api,33,kf_api,,,53.84615384615385,0.0,39.130434782608695,12.903225806451612,0.4,0.6,0.0,21.53846153846154,,16.357320099255585,0.0615,1.0059751861042185
CN,kfood,49,60,sample_baseline,0,0,http_400,youtube_api_error,7.0,trends_api,33,kf_api,0.0,customs_api,70.37037037037037,0.0,18.75,12.903225806451612,0.4,0.6,0.0,28.14814814814815,50.0,34.500597371565114,0.1677,5.785750179211469
CN,kbeauty,73,60,sample_baseline,0,0,http_400,youtube_api_error,14.0,trends_api,33,kf_api,0.0,customs_api,100.0,0.0,26.82926829268293,12.903225806451612,0.4,0.6,0.0,40.0,50.0,36.87096774193549,0.2165,7.982564516129033
CN,kfashion,53,60,sample_baseline,0,0,http_400,youtube_api_error,33.0,trends_api,33,kf_api,0.0,customs_api,100.0,0.0,100.0,12.903225806451612,0.4,0.6,0.0,40.0,50.0,36.87096774193549,0.1401,5.165622580645162
CN,ktourism,42,60,sample_baseline,0,0,http_400,youtube_api_error,3.0,trends_api,33,kf_api,300000.0,sample_kto,63.63636363636363,0.0,60.0,12.903225806451612,0.4,0.6,0.0,25.454545454545453,100.0,58.961876832844574,0.056,3.301865102639296
JP,kpop,69,72,sample_baseline,1808152,14,,youtube_api,7.0,trends_api,45,kf_api,,,47.22222222222222,1.7979411148411828,4.761904761904762,51.61290322580645,0.4,0.35,0.25,20.70864446955949,,39.251199723307664,0.1228,4.8200473260221814
JP,kvideo,56,72,sample_baseline,0,0,search_http_429,youtube_api,0.0,trends_api,45,kf_api,,,55.55555555555556,0.0,0.0,51.61290322580645,0.4,0.35,0.25,22.222222222222225,,39.85663082437276,0.1287,5.129548387096774
JP,kgame,58,72,sample_baseline,17331168,8,,youtube_search_fallback,14.0,trends_api,45,kf_api,,,40.0,54.90163655088778,15.384615384615385,51.61290322580645,0.4,0.35,0.25,39.061726638964565,,46.592432591069695,0.1067,4.971412557467136
JP,kwebtoon,54,72,sample_baseline,10227100,8,,youtube_search_fallback,2.0,trends_api,45,kf_api,,,46.15384615384615,79.23161194971775,0.0,51.61290322580645,0.4,0.35,0.25,46.19260264393967,,49.44478299305974,0.0615,3.0408541540731737
JP,kfood,51,72,sample_baseline,0,0,search_http_429,youtube_api,4.0,trends_api,45,kf_api,0.0,customs_api,77.77777777777779,0.0,9.375,51.61290322580645,0.4,0.35,0.25,33.454861111111114,50.0,47.17484318996416,0.1677,7.911221202956988
JP,kbeauty,59,72,sample_baseline,0,0,search_http_429,youtube_api,8.0,trends_api,45,kf_api,0.0,customs_api,62.16216216216216,0.0,12.195121951219512,51.61290322580645,0.4,0.35,0.25,27.913645352669747,50.0,46.06660003827589,0.2165,9.97341890828673
JP,kfashion,42,72,sample_baseline,0,0,search_http_429,youtube_api,14.0,trends_api,45,kf_api,0.0,customs_api,59.25925925925925,0.0,38.70967741935484,51.61290322580645,0.4,0.35,0.25,33.381123058542414,50.0,47.16009557945042,0.1401,6.607129390681004
JP,ktourism,50,72,sample_baseline,3493364,8,,youtube_search_fallback,5.0,trends_api,45,kf_api,250000.0,sample_kto,100.0,100.0,100.0,51.61290322580645,0.4,0.35,0.25,100.0,83.05084745762711,77.00929469655549,0.056,4.312520503007107
VN,kpop,83,64,sample_baseline,32822540,22,,youtube_api,8.0,trends_api,55,kf_api,,,86.11111111111111,32.6371865636956,7.142857142857142,83.87096774193549,0.4,0.35,0.25,47.653174027452195,,69.38385025614217,0.1228,8.520336811454259
VN,kvideo,72,64,sample_baseline,0,0,search_http_429,youtube_api,0.0,trends_api,55,kf_api,,,100.0,0.0,0.0,83.87096774193549,0.4,0.35,0.25,40.0,,66.32258064516128,0.1287,8.535716129032258
VN,kgame,70,64,sample_baseline,2521935,2,,youtube_api,16.0,trends_api,55,kf_api,,,100.0,7.988980245010789,18.461538461538463,83.87096774193549,0.4,0.35,0.25,47.41152770113839,,69.28719172561665,0.1067,7.392943357123297
VN,kwebtoon,68,64,sample_baseline,0,0,search_http_429,youtube_api,8.0,trends_api,55,kf_api,,,100.0,0.0,26.08695652173913,83.87096774193549,0.4,0.35,0.25,46.52173913043478,,68.9312762973352,0.0615,4.239273492286115
VN,kfood,57,64,sample_baseline,541946,1,,youtube_api,7.0,trends_api,55,kf_api,0.0,customs_api,100.0,100.0,18.75,83.87096774193549,0.4,0.35,0.25,79.6875,50.0,66.09879032258064,0.1677,11.084767137096772
VN,kbeauty,67,64,sample_baseline,45129454,8,,youtube_search_fallback,5.0,trends_api,55,kf_api,0.0,customs_api,83.78378378378379,86.0385452770692,4.878048780487805,83.87096774193549,0.4,0.35,0.25,64.84651655560968,50.0,63.130593633702574,0.2165,13.667773521696606
VN,kfashion,48,64,sample_baseline,21836364,8,,youtube_search_fallback,14.0,trends_api,55,kf_api,0.0,customs_api,81.48148148148148,95.86979556883986,38.70967741935484,83.87096774193549,0.4,0.35,0.25,75.82444039652525,50.0,65.3261784018857,0.1401,9.152197594104187
