country,kwci,L2_norm,youtube_views,trends_interest,country_name
VN,64.93,83.87096774193549,102852239,7.5,베트남
AR,60.5,100.0,4514041,7.8,아르헨티나
US,59.98,70.96774193548387,118315045,18.5,미국
TH,56.76,74.19354838709677,24604535,7.8,태국
FR,54.13,83.87096774193549,8111098,7.4,프랑스
JP,46.77,51.61290322580645,32859784,6.8,일본
AE,41.82,51.61290322580645,33676822,10.5,UAE
BR,37.3,35.483870967741936,35792792,7.5,브라질
MY,36.25,19.35483870967742,101261687,16.2,말레이시아
TR,32.41,35.483870967741936,7651046,4.1,터키
CN,28.36,12.903225806451612,0,20.6,중국
ID,28.12,6.451612903225806,5030943,8.4,인도네시아
GB,20.14,3.225806451612903,12037674,10.6,영국
IN,16.86,0.0,22597798,6.6,인도
ZA,16.34,3.225806451612903,45715358,7.2,남아공
