country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
JP,kbeauty,59,72,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,45,kf_api,150902814.0,customs_api,62.16216216216216,0.0,13.333333333333334,51.61290322580645,0.4,0.35,0.25,28.1981981981982,28.244273115986758,35.245647165374955,0.2165,7.630682611303677
JP,kfashion,42,72,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,45,kf_api,12053338.0,customs_api,59.25925925925925,50.0,42.857142857142854,51.61290322580645,0.4,0.35,0.25,51.91798941798942,24.449839005669023,38.09238835417433,0.1401,5.336743608419824
JP,ktourism,50,72,sample_baseline,0,0,search_http_429,youtube_api,5.0,trends_api,45,kf_api,250000.0,sample_kto,100.0,50.0,100.0,51.61290322580645,0.4,0.35,0.25,82.5,83.05084745762711,73.50929469655549,0.056,4.1165205030071075
VN,kpop,83,64,sample_baseline,28475589,23,,youtube_api,8.0,trends_api,55,kf_api,,,86.11111111111111,30.775470700952912,4.878048780487805,83.87096774193549,0.4,0.35,0.25,46.43537138489992,,68.89672919912125,0.1228,8.46051834565209
VN,kvideo,72,64,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,55,kf_api,,,100.0,0.0,8.0,83.87096774193549,0.4,0.35,0.25,42.0,,67.12258064516129,0.1287,8.638676129032259
VN,kgame,70,64,sample_baseline,2505015,2,,youtube_api,17.0,trends_api,55,kf_api,,,100.0,100.0,18.30985915492958,83.87096774193549,0.4,0.35,0.25,79.5774647887324,,82.15356656065424,0.1067,8.765785552021807
VN,kwebtoon,68,64,sample_baseline,0,0,search_http_429,youtube_api,9.0,trends_api,55,kf_api,,,100.0,50.0,25.0,83.87096774193549,0.4,0.35,0.25,63.75,,75.82258064516128,0.0615,4.663088709677418
VN,kfood,57,64,sample_baseline,0,0,search_http_429,youtube_api,5.0,trends_api,55,kf_api,17063498.0,customs_api,100.0,0.0,17.391304347826086,83.87096774193549,0.4,0.35,0.25,44.34782608695652,10.842056345368848,39.45188371265637,0.1677,6.616080898612473
VN,kbeauty,67,64,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,55,kf_api,73523144.0,customs_api,83.78378378378379,0.0,6.666666666666667,83.87096774193549,0.4,0.35,0.25,35.18018018018018,13.499209062473158,38.946930889853256,0.2165,8.43201053765323
VN,kfashion,48,64,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,55,kf_api,1102412.0,customs_api,81.48148148148148,50.0,42.857142857142854,83.87096774193549,0.4,0.35,0.25,60.80687830687831,2.235830425741826,38.44058119682722,0.1401,5.385525425675493
VN,ktourism,47,64,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,55,kf_api,50000.0,sample_kto,86.36363636363636,50.0,40.0,83.87096774193549,0.4,0.35,0.25,62.04545454545455,15.254237288135593,45.197499875739354,0.056,2.5310599930414037
TH,kpop,88,65,sample_baseline,5358502,11,,youtube_api,6.0,trends_api,52,kf_api,,,100.0,5.791290965113928,0.0,74.19354838709677,0.4,0.35,0.25,42.02695183778987,,61.326909767374005,0.1228,7.530944519433528
TH,kvideo,72,65,sample_baseline,0,0,search_http_429,youtube_api,4.0,trends_api,52,kf_api,,,100.0,0.0,12.0,74.19354838709677,0.4,0.35,0.25,43.0,,61.71612903225805,0.1287,7.9428658064516116
TH,kgame,66,65,sample_baseline,320983,1,,youtube_api,11.0,trends_api,52,kf_api,,,80.0,12.813615886531618,9.859154929577464,74.19354838709677,0.4,0.35,0.25,38.94955429268043,,60.09595074933023,0.1067,6.412237944953535
TH,kwebtoon,64,65,sample_baseline,0,0,search_http_429,youtube_api,25.0,trends_api,52,kf_api,,,84.61538461538461,50.0,91.66666666666666,74.19354838709677,0.4,0.35,0.25,74.26282051282051,,74.22125723738625,0.0615,4.564607320099254
TH,kfood,48,65,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,52,kf_api,27807950.0,customs_api,66.66666666666666,0.0,8.695652173913043,74.19354838709677,0.4,0.35,0.25,28.840579710144926,17.772945195631138,36.912653055973585,0.1677,6.19025191748677
TH,kbeauty,62,65,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,52,kf_api,39971066.0,customs_api,70.27027027027027,0.0,13.333333333333334,74.19354838709677,0.4,0.35,0.25,31.441441441441444,7.105701061747846,32.099203335291236,0.2165,6.949477522090553
